university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
203,275,36.6,370,22.6,501,11.0,29,99.8,601,5.9,522.0,9.5,96.0,93.8,,,,,,
204,432,26.8,501,9.2,501,7.9,557,26.7,143,69.7,601.0,1.8,248.0,57.0,,,,,,
205,526,,501,6.1,501,1.3,22,99.9,601,1.2,601.0,1.0,601.0,1.9,,,,,,
206,903,,501,11.0,501,3.9,543,27.7,601,3.8,601.0,1.7,601.0,3.0,,,,,,
207,511,,324,26.0,156,53.0,497,31.0,601,5.9,601.0,1.2,601.0,11.3,,,,,,
208,506,,263,32.4,501,5.5,560,26.6,601,15.0,419.0,18.6,494.0,23.6,,,,,,
209,753,,501,9.7,501,14.6,601,16.1,601,2.6,2.0,100.0,491.0,23.8,,,,,,
210,1255,,501,4.4,501,6.5,601,3.5,601,1.1,601.0,1.3,601.0,3.4,,,,,,
211,351,31.4,347,24.3,260,36.6,601,5.1,159,66.4,384.0,25.5,310.0,46.2,,,,,,
212,483,24.6,345,24.5,363,27.4,601,3.6,265,51.7,534.0,8.9,601.0,9.7,,,,,,
213,457,25.7,399,20.7,501,14.9,338,46.1,452,29.1,573.0,7.0,601.0,9.1,,,,,,
214,241,39.5,228,37.0,96,70.4,601,6.9,225,56.2,244.0,63.6,396.0,33.7,,,,,,
215,590,,501,13.2,501,14.8,601,9.2,304,46.5,365.0,29.7,490.0,23.9,,,,,,
216,32,82.5,6,100.0,7,100.0,601,23.3,13,99.9,136.0,95.4,261.0,55.3,,,,,,
217,604,,501,8.9,501,7.8,466,33.2,437,30.2,376.0,27.6,601.0,15.0,,,,,,
218,570,,501,10.8,501,6.8,601,5.7,354,39.0,67.0,100.0,295.0,48.9,,,,,,
219,1253,,501,4.1,501,2.4,601,9.8,601,1.8,601.0,1.3,601.0,1.2,,,,,,
220,625,,365,22.9,221,43.1,601,20.4,601,8.2,601.0,2.5,601.0,6.3,,,,,,
221,543,,501,10.5,501,10.8,601,9.2,157,66.6,403.0,21.8,582.0,17.0,,,,,,
222,484,24.6,501,4.8,501,2.5,46,97.9,601,12.2,601.0,1.2,601.0,4.3,,,,,,
223,216,41.9,96,67.7,101,67.4,484,31.9,601,6.2,601.0,2.6,601.0,3.0,,,,,,
224,125,55.8,191,42.8,393,24.9,47,97.9,250,53.4,342.0,35.7,159.0,78.5,,,,,,
225,846,,501,10.3,501,16.2,498,30.9,601,1.3,543.0,8.3,601.0,2.7,,,,,,
226,1091,,501,7.1,501,15.9,601,11.3,601,5.2,471.0,13.8,529.0,21.0,,,,,,
227,801,,501,9.6,501,11.0,501,30.8,601,1.3,601.0,2.8,601.0,6.3,,,,,,
228,251,38.6,421,20.0,501,12.3,52,96.8,601,7.6,46.0,100.0,210.0,65.6,,,,,,
229,685,,338,25.2,200,46.5,601,13.7,601,3.0,601.0,1.2,601.0,1.6,,,,,,
230,1150,,501,11.6,501,8.0,601,13.5,601,3.3,415.0,19.7,601.0,7.9,,,,,,
