university_id,sustainability rank,sustainability score
1090,137.0,81.7
1091,701.0,1.0
1092,701.0,8.1
1093,55.0,95.0
1094,701.0,4.1
1095,701.0,1.1
1096,367.0,39.0
1097,701.0,1.9
1098,149.0,80.2
1099,341.0,43.8
1100,41.0,96.3
1101,701.0,6.2
1102,701.0,4.9
1103,331.0,46.0
1104,701.0,3.7
1105,701.0,1.0
1106,144.0,80.8
1107,701.0,2.6
1108,588.0,16.3
1109,145.0,80.6
1110,79.0,92.0
1111,701.0,1.3
1112,528.0,21.6
1113,701.0,1.8
1114,701.0,7.2
1115,701.0,3.7
1116,617.0,14.5
1117,701.0,1.0
1118,116.0,85.5
1119,259.0,57.7
1120,647.0,11.7
1121,603.0,15.4
1122,416.0,33.2
1123,528.0,21.6
1124,701.0,1.0
1125,309.0,49.7
1126,701.0,1.2
1127,182.0,73.6
1128,701.0,1.8
1129,502.0,24.1
1130,362.0,40.2
1131,552.0,19.0
1132,150.0,80.0
1133,21.0,98.1
1134,701.0,1.1
1135,403.0,34.6
1136,63.0,94.4
1137,179.0,74.3
1138,101.0,88.5
1139,,
1140,608.0,15.2
1141,228.0,64.5
1142,701.0,1.0
1143,163.0,77.7
1144,365.0,39.6
1145,644.0,11.8
1146,588.0,16.3
1147,701.0,7.9
