name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
Aarhus University,143,52,140,55.8,387,24.7,490,32.5,238,54.1,181,90.3,661,13.1,56,94.8,156,45.1,=18,98.4
King Abdulaziz University (KAU),144,52,143,54.5,127,61.6,300,52.5,374,37.5,124,97.5,500,23.1,121,84.4,483,17.3,=342,43.5
Queen Mary University of London,145,51.9,168,48.8,300,32.8,409,38.7,260,50.7,85,99.7,43,99.4,184,72.8,506,16.8,=207,69.9
Rice University,146,51.9,222,38.7,415,22.9,205,65.9,101,82.5,176,91,89,94.8,671,9.8,262,30,=345,42.6
Sungkyunkwan University (SKKU),147,51.9,106,64.2,98,71.6,129,81.8,369,37.9,618,17.8,387,34,672,9.8,304,26.8,=471,27.6
University of Bath,148,51.8,244,35.6,88,74.3,701+,16.1,196,61.9,136,96.3,155,81.6,251,59.3,310,26.5,=316,48.4
Indian Institute of Technology Bombay (IITB),149,51.7,141,55.5,69,81.9,697,18.9,133,73.1,701+,4.7,701+,1.4,701+,8.5,146,47.4,=277,54.9
Universitat Autònoma de Barcelona,150,51.7,109,63.2,246,39,701+,10.6,145,70.6,615,18,582,17.4,123,84.2,623,13.7,60,94.6
The Ohio State University,151,51.3,125,59.4,148,55.8,287,53.8,429,30.8,359,49.7,590,16.5,116,85,216,35.2,=158,78.4
Wageningen University & Research,152,51.3,196,43.3,472,19,47,97.9,292,46,336,55,170,78.5,22,97.8,438,19,=196,71.5
University of Exeter,153,50.9,199,43,161,51.1,555,27.4,308,43.3,174,91.6,180,76.2,85,89.8,424,19.7,57,94.8
Alma Mater Studiorum - University of Bologna,154,50.5,73,79.6,237,40,701+,3.4,267,49.5,701+,8,695,10.9,75,91,219,34.8,=268,56.5
Cardiff University,155,50.5,176,46.5,181,48.3,474,33.7,347,39.6,217,84,206,70.6,138,81.6,442,18.9,25,97.9
Technische Universität Berlin (TU Berlin),156,50.5,137,56.2,107,69.3,296,53,492,24.9,351,51.3,214,68.8,284,55,327,25.4,294,52.1
Washington University in St. Louis,157,50.5,224,38.6,601+,10.4,28,99.8,259,50.7,214,84.3,219,68,241,60.5,228,33.7,83,91.4
Universiti Putra Malaysia (UPM),158,50.4,129,58.8,113,67.5,194,67.6,519,22.7,381,44.3,72,97.3,341,45.4,701+,9.7,=511,23.2
Ghent University,159,50.2,146,53.4,379,25.2,141,78.9,486,25.1,231,79.6,528,21.2,8,99.8,124,52,=84,91.3
Universidad de Chile,160,50.2,66,81.5,30,96.6,701+,9.7,687,12.5,701+,9,701+,5,322,48.6,130,50.4,=389,36.3
Universiti Kebangsaan Malaysia (UKM),161,50.2,121,59.7,103,70.1,95,87.5,701+,11.7,347,52.7,242,61.1,272,56.7,701+,11.2,=497,24.4
University of Wollongong,162,50.1,290,29.7,382,25.1,701+,16.3,60,93.8,146,95.6,265,56,186,72.7,492,17.1,=75,92.3
