university_id,employment outcomes rank,employment outcomes score
443,129.0,51.0
444,175.0,41.7
445,701.0,8.8
446,701.0,7.4
447,701.0,6.9
448,426.0,19.7
449,424.0,19.7
450,701.0,9.5
451,701.0,8.0
452,536.0,15.6
453,701.0,9.3
454,197.0,37.2
455,694.0,12.5
456,701.0,10.8
457,372.0,22.3
458,588.0,14.3
459,67.0,71.7
460,36.0,89.7
461,38.0,88.9
462,264.0,29.8
463,701.0,12.4
464,423.0,19.8
465,701.0,10.6
466,385.0,21.6
467,613.0,13.9
468,701.0,6.1
469,260.0,30.1
470,32.0,93.1
471,452.0,18.5
472,202.0,36.9
